,Type,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage,place,city,price
0,Apartment,1,0,0-42,0,0,0,0,0,0, Gasperich-Cloche d’or, Luxembourg,1600
1,detached house,0,0,116-167,2,2,1,0,0,0, Pfaffenthal, Luxembourg,2990
2,Apartment,1,0,76-116,1,1,1,1,0,0, Hollerich, Luxembourg,2150
3,Apartment,2,1,42-75,2,2,1,0,0,2, Cessange, Luxembourg,2600
4,Apartment,1,1,76-116,2,2,2,0,1,1, Helmsange, Walferdange,2400
5,detached house,0,0,167-215,4,4,2,0,1,0, Junglinster Localité, Junglinster,3800
6,Apartment,3,1,76-116,3,3,2,0,0,0, Bereldange, Walferdange,2540
7,detached house,0,0,116-167,4,4,2,0,0,0, Gasperich-Cloche d’or, Luxembourg,3750
8,Apartment,2,1,76-116,2,2,1,0,0,0, Merl, Luxembourg,2200
9,detached house,0,0,167-215,4,4,2,0,0,0, Dalheim Localité, Dalheim,3200
10,Apartment,0,1,76-116,2,2,1,1,1,0, Bertrange,Luxembourg,2950
11,Apartment,2,1,0-42,1,1,1,1,0,0, Belair, Luxembourg,2300
12,detached house,0,0,167-215,3,3,1,0,1,0, Tarchamps, Lac de la Haute Sûre,2300
13,Apartment,2,1,76-116,3,3,2,0,0,2, Limpertsberg, Luxembourg,4650
14,Apartment,3,1,42-75,1,1,1,0,0,0, Alzingen, Hesperange,1900
15,detached house,0,0,167-215,0,6,1,0,0,0, Belair, Luxembourg,4400
16,Duplex,0,0,42-75,3,3,0,0,1,0, Moersdorf, Rosport-Mompach,3200
17,Duplex,0,0,42-75,3,3,0,0,1,0, Moersdorf, Rosport-Mompach,2600
18,Duplex,0,0,167-215,3,3,0,0,1,0, Moersdorf, Rosport-Mompach,5000
19,Apartment,1,0,76-116,2,2,1,0,1,0, Alzingen, Hesperange,1700
20,Penthouse,more,1,76-116,2,2,2,0,1,0, Limpertsberg, Luxembourg,3500
21,Apartment,more,1,42-75,1,1,1,1,0,0, Ville Haute, Luxembourg,1450
22,Apartment,0,1,76-116,2,2,1,0,0,0, Bissen Localité, Bissen,2000
23,Studio,0,0,0-42,1,1,1,0,0,1, Ville Haute, Luxembourg,1250
24,Duplex,0,0,116-167,0,0,1,0,1,1, Rollingen, Mersch,2250
25,Apartment,1,0,76-116,2,2,2,0,1,2, Itzig, Hesperange,2200
26,Duplex,1,0,42-75,2,2,2,1,0,0, Steinsel Localité, Steinsel,2150
27,detached house,0,0,116-167,4,4,2,0,1,1, Gasperich-Cloche d’or, Luxembourg,3350
28,detached house,0,0,>215,5,5,2,0,0,0, Helmsange, Walferdange,4000
29,Apartment,3,1,42-75,1,1,1,0,0,0, Muhlenbach, Luxembourg,1900
30,Apartment,2,1,42-75,1,1,1,1,0,0, Belair, Luxembourg,2500
31,Apartment,0,0,76-116,2,2,1,0,0,0, Ville Haute, Luxembourg,2800
32,Apartment,more,1,42-75,1,1,1,1,0,0, Ville Haute, Luxembourg,1700
33,Apartment,1,1,42-75,1,1,1,0,0,0, Lintgen Localité, Lintgen,1500
34,Apartment,2,0,76-116,2,2,1,0,0,0, Bonnevoie-Verlorenkost, Luxembourg,2250
35,Apartment,2,0,42-75,1,1,0,0,0,1, Rollingergrund, Luxembourg,1700
36,Apartment,0,0,76-116,2,2,1,0,1,2, Aspelt, Frisange,1725
37,Apartment,1,0,76-116,2,2,1,0,0,0, Bech Localité, Bech,1900
38,Apartment,1,0,76-116,2,2,1,1,0,0, Gare, Luxembourg,2550
39,Apartment,1,1,76-116,2,2,1,1,0,0, Limpertsberg, Luxembourg,3200
40,Apartment,3,0,76-116,2,2,1,1,0,0, Roeser Localité, Roeser,2000
41,Apartment,1,0,0-42,1,1,1,1,0,0, Belair, Luxembourg,1800
42,Duplex,3,0,76-116,2,2,1,0,0,1, Strassen,Luxembourg,2150
43,Apartment,2,0,42-75,1,1,1,0,0,0, Ettelbruck Localité, Ettelbruck,1500
44,Apartment,0,1,42-75,1,1,1,1,0,0, Eich, Luxembourg,2380
45,Apartment,more,1,76-116,2,2,1,1,0,0, Kirchberg, Luxembourg,3940
46,detached house,0,0,116-167,3,3,1,0,1,0, Bous Localité, Bous,2500
47,Apartment,0,1,42-75,1,1,1,0,0,1, Gare, Luxembourg,1850
48,Apartment,0,1,0-42,1,1,1,0,1,1, Gare, Luxembourg,1870
49,Apartment,2,1,76-116,2,2,1,0,0,0, Cessange, Luxembourg,2100
50,Apartment,0,1,76-116,3,3,2,0,1,0, Dommeldange, Luxembourg,3300
51,Apartment,0,0,116-167,3,3,1,0,1,1, Mondorf-les-Bains Localité, Mondorf-les-Bains,2300
52,Duplex,2,0,76-116,2,2,1,0,1,0, Stadtbredimus Localité, Stadtbredimus,2650
53,Apartment,3,0,76-116,3,3,1,0,0,0, Gasperich-Cloche d’or, Luxembourg,2300
54,Penthouse,2,1,42-75,1,1,1,0,0,0, Lausdorn, Clervaux,1400
55,Duplex,0,0,42-75,2,2,1,0,1,0, Strassen,Luxembourg,2400
56,Apartment,1,0,76-116,2,2,1,0,0,0, Itzig, Hesperange,1750
57,Apartment,2,1,42-75,1,1,1,0,1,0, Bridel, Kopstal,2000
58,Apartment,1,1,42-75,1,1,1,1,0,0, Gare, Luxembourg,1900
59,Apartment,2,1,42-75,1,1,1,0,0,0, Belvaux, Sanem,1650
60,Apartment,0,1,42-75,1,1,1,0,1,0, Neudorf-Weimershof, Luxembourg,2600
61,Apartment,1,1,76-116,2,2,1,0,0,0, Neudorf-Weimershof, Luxembourg,3500
62,Apartment,0,1,42-75,1,1,1,0,1,0, Neudorf-Weimershof, Luxembourg,2600
63,Apartment,1,1,76-116,2,2,1,0,0,0, Neudorf-Weimershof, Luxembourg,3500
64,Apartment,2,1,0-42,1,1,1,1,0,0, Al-Esch, Esch-sur-Alzette,1600
